metabolite_number,dilution_factor,dilution_factor_original,injection_volume,log_injection_quantity,chromatogram_number,replicate,internal_standard,intensity,log_intensity,log_intensity_factor,normalized_intensity,log_normalized_intensity,log_normalized_intensity_factor,condition,metabolite_code,chromatogram_name,ionization_mode,ionization_code,retention_time,observation_number
1001,0.25,0.25,10,0.9162907318741551,24,2,9333460.318,118370.1546,11.68157189702126,10.765281165147105,0.012682344014654222,-4.367544487857554,-5.283835219731709,3,X315.108224422026.1.44374652777771,025dil_rep2_10ul_4_pos,positive,1,1.44374652777771,24
1001,0.5,0.5,2,0,25,1,3670921.266,444730.1382,13.005222946183482,13.005222946183482,0.12114946248482138,-2.110730268503515,-2.110730268503515,4,X315.108224422026.1.44374652777771,05dil_rep1_2ul_1_pos,positive,1,1.44374652777771,25
1001,0.5,0.5,2,0,28,1,2768689.132,30892.62595,10.338272792011388,10.338272792011388,0.011157852860022712,-4.49561173659478,-4.49561173659478,4,X315.108224422026.1.44374652777771,05dil_rep1_2ul_2_pos,positive,1,1.44374652777771,26
1001,0.5,0.5,2,0,31,1,2638622.768,331224.1292,12.710550552704262,12.710550552704262,0.12552917120891,-2.075217107508636,-2.075217107508636,4,X315.108224422026.1.44374652777771,05dil_rep1_2ul_3_pos,positive,1,1.44374652777771,27
1001,0.5,0.5,2,0,34,1,2270723.624,29670.35722,10.297903752983203,10.297903752983203,0.013066476653699536,-4.337705362768272,-4.337705362768272,4,X315.108224422026.1.44374652777771,05dil_rep1_2ul_4_pos,positive,1,1.44374652777771,28
1001,0.5,0.5,2,0,37,2,3005824.974,408325.7735,12.91982059924392,12.91982059924392,0.13584482697161862,-1.9962420228070616,-1.9962420228070616,4,X315.108224422026.1.44374652777771,05dil_rep2_2ul_1_pos,positive,1,1.44374652777771,29
1001,0.5,0.5,2,0,40,2,3561141.654,60501.44793,11.010422576459822,11.010422576459822,0.016989340444248446,-4.075169164284402,-4.075169164284402,4,X315.108224422026.1.44374652777771,05dil_rep2_2ul_2_pos,positive,1,1.44374652777771,30
1001,0.5,0.5,2,0,43,2,2506789.374,42343.8493,10.653578454585713,10.653578454585713,0.01689166618431661,-4.080934903867687,-4.080934903867687,4,X315.108224422026.1.44374652777771,05dil_rep2_2ul_3_pos,positive,1,1.44374652777771,31
1001,0.5,0.5,2,0,46,2,1417020.883,207018.1863,12.240561924910088,12.240561924910088,0.14609395583621756,-1.9235053311276704,-1.9235053311276704,4,X315.108224422026.1.44374652777771,05dil_rep2_2ul_4_pos,positive,1,1.44374652777771,32
1001,0.5,0.5,5,0.9162907318741551,26,1,7446640.112,182872.8668,12.116546473456031,11.200255741581877,0.02455776887959266,-3.706727023494525,-4.62301775536868,5,X315.108224422026.1.44374652777771,05dil_rep1_5ul_1_pos,positive,1,1.44374652777771,33
1001,0.5,0.5,5,0.9162907318741551,29,1,7698187.539,111653.8726,11.623158941843679,10.706868209969524,0.01450391693295951,-4.233336532727488,-5.149627264601643,5,X315.108224422026.1.44374652777771,05dil_rep1_5ul_2_pos,positive,1,1.44374652777771,34
1001,0.5,0.5,5,0.9162907318741551,32,1,6123618.386,139045.1748,11.842554157873387,10.926263425999233,0.02270637489721588,-3.785109561444368,-4.701400293318524,5,X315.108224422026.1.44374652777771,05dil_rep1_5ul_3_pos,positive,1,1.44374652777771,35
1001,0.5,0.5,5,0.9162907318741551,35,1,5581010.737,115360.2038,11.655814719160766,10.739523987286612,0.020670127551485486,-3.8790657344567263,-4.795356466330881,5,X315.108224422026.1.44374652777771,05dil_rep1_5ul_4_pos,positive,1,1.44374652777771,36
1001,0.5,0.5,5,0.9162907318741551,38,2,6265870.975,275186.8781,12.52520570258186,11.608914970707705,0.04391837610412972,-3.125422456414103,-4.0417131882882575,5,X315.108224422026.1.44374652777771,05dil_rep2_5ul_1_pos,positive,1,1.44374652777771,37
1001,0.5,0.5,5,0.9162907318741551,41,2,5853558.876,223181.3886,12.315740121604017,11.399449389729863,0.03812746968601602,-3.266820267503007,-4.1831109993771625,5,X315.108224422026.1.44374652777771,05dil_rep2_5ul_2_pos,positive,1,1.44374652777771,38
1001,0.5,0.5,5,0.9162907318741551,44,2,4562552.124,168050.4103,12.032019274685528,11.115728542811373,0.03683254584994632,-3.3013734265604535,-4.217664158434609,5,X315.108224422026.1.44374652777771,05dil_rep2_5ul_3_pos,positive,1,1.44374652777771,39
1001,0.5,0.5,5,0.9162907318741551,47,2,1672973.292,212465.2039,12.26653350758577,11.350242775711614,0.1269985629274469,-2.063579508119481,-2.979870239993636,5,X315.108224422026.1.44374652777771,05dil_rep2_5ul_4_pos,positive,1,1.44374652777771,40
1001,0.5,0.5,10,1.6094379124341003,27,1,10159388.17,529302.3426,13.179315083681741,11.56987717124764,0.052099824688557006,-2.954593695131414,-4.564031607565514,6,X315.108224422026.1.44374652777771,05dil_rep1_10ul_1_pos,positive,1,1.44374652777771,41
1001,0.5,0.5,10,1.6094379124341003,30,1,9289444.3,58598.81888,10.978469819730577,9.369031907296478,0.006308108105024107,-5.0659194722628005,-6.675357384696901,6,X315.108224422026.1.44374652777771,05dil_rep1_10ul_2_pos,positive,1,1.44374652777771,42
1001,0.5,0.5,10,1.6094379124341003,33,1,8953485.472,60822.80706,11.015720113734218,9.406282201300117,0.006793198833036539,-4.991833338917732,-6.601271251351832,6,X315.108224422026.1.44374652777771,05dil_rep1_10ul_3_pos,positive,1,1.44374652777771,43
1001,0.5,0.5,10,1.6094379124341003,36,1,9812289.553,43086.44675,10.670963766081906,9.061525853647806,0.004391069639483559,-5.4281824279328825,-7.037620340366983,6,X315.108224422026.1.44374652777771,05dil_rep1_10ul_4_pos,positive,1,1.44374652777771,44
1001,0.5,0.5,10,1.6094379124341003,39,2,10152903.45,109953.4587,11.607812452514066,9.998374540079967,0.010829755177076959,-4.525457824219497,-6.134895736653598,6,X315.108224422026.1.44374652777771,05dil_rep2_10ul_1_pos,positive,1,1.44374652777771,45
1001,0.5,0.5,10,1.6094379124341003,42,2,9533243.718,82595.3751,11.321708966416061,9.712271053981961,0.008663931977743233,-4.748586620451937,-6.358024532886038,6,X315.108224422026.1.44374652777771,05dil_rep2_10ul_2_pos,positive,1,1.44374652777771,46
1001,0.5,0.5,10,1.6094379124341003,45,2,1970612.351,253764.621,12.444162427382617,10.834724514948515,0.1287745004090863,-2.049692463102476,-3.6591303755365767,6,X315.108224422026.1.44374652777771,05dil_rep2_10ul_3_pos,positive,1,1.44374652777771,47
1001,0.5,0.5,10,1.6094379124341003,48,2,5088100.984,152666.1134,11.936008550404178,10.326570637970077,0.030004536836055844,-3.506406680885235,-5.115844593319335,6,X315.108224422026.1.44374652777771,05dil_rep2_10ul_4_pos,positive,1,1.44374652777771,48
1001,1,1,2,0.6931471805599453,49,1,2556556.53,24372.57158,10.10121366341572,9.408066482855775,0.009533359146961637,-4.652958142104857,-5.346105322664802,7,X315.108224422026.1.44374652777771,1dil_rep1_2ul_1_pos,positive,1,1.44374652777771,49
1001,1,1,2,0.6931471805599453,52,1,3184227.6,63729.17552,11.062397751146356,10.369250570586411,0.020014013922874104,-3.911322554657369,-4.6044697352173145,7,X315.108224422026.1.44374652777771,1dil_rep1_2ul_2_pos,positive,1,1.44374652777771,50
1001,1,1,2,0.6931471805599453,55,1,3154788.724,60253.30749,11.00631274594575,10.313165565385805,0.019098999255203374,-3.95811934031775,-4.651266520877695,7,X315.108224422026.1.44374652777771,1dil_rep1_2ul_3_pos,positive,1,1.44374652777771,51
1001,1,1,2,0.6931471805599453,58,1,3259808.289,81116.43153,11.303640827842628,10.610493647282683,0.024883804303376323,-3.6935381167158448,-4.38668529727579,7,X315.108224422026.1.44374652777771,1dil_rep1_2ul_4_pos,positive,1,1.44374652777771,52
1001,1,1,2,0.6931471805599453,61,2,3522966.57,144646.1558,11.88204573417834,11.188898553618396,0.041058055171951297,-3.192768234028199,-3.8859154145881445,7,X315.108224422026.1.44374652777771,1dil_rep2_2ul_1_pos,positive,1,1.44374652777771,53
1001,1,1,2,0.6931471805599453,64,2,4091314.338,65287.82455,11.08656084382161,10.393413663261665,0.01595766522841052,-4.137815986608455,-4.830963167168401,7,X315.108224422026.1.44374652777771,1dil_rep2_2ul_2_pos,positive,1,1.44374652777771,54
1001,1,1,2,0.6931471805599453,67,2,3796732.394,73846.45001,11.209743216526523,10.516596035966579,0.019450001302883504,-3.9399081419313857,-4.633055322491331,7,X315.108224422026.1.44374652777771,1dil_rep2_2ul_3_pos,positive,1,1.44374652777771,55
1001,1,1,2,0.6931471805599453,70,2,3846666.448,82342.89578,11.318647463274843,10.625500282714897,0.02140629994649331,-3.8440700102555194,-4.537217190815465,7,X315.108224422026.1.44374652777771,1dil_rep2_2ul_4_pos,positive,1,1.44374652777771,56
1001,1,1,5,1.6094379124341003,50,1,6210562.756,124389.4133,11.731172353575795,10.121734441141696,0.02002868631829344,-3.9105897171620145,-5.520027629596115,8,X315.108224422026.1.44374652777771,1dil_rep1_5ul_1_pos,positive,1,1.44374652777771,57
1001,1,1,5,1.6094379124341003,53,1,6196657.707,138548.5065,11.83897577073104,10.22953785829694,0.022358586362369166,-3.8005448544125473,-5.409982766846648,8,X315.108224422026.1.44374652777771,1dil_rep1_5ul_2_pos,positive,1,1.44374652777771,58
1001,1,1,5,1.6094379124341003,56,1,8056300.452,169550.9846,12.040908954673462,10.43147104223936,0.021045762333492476,-3.8610560534435927,-5.470493965877694,8,X315.108224422026.1.44374652777771,1dil_rep1_5ul_3_pos,positive,1,1.44374652777771,59
1001,1,1,5,1.6094379124341003,59,1,7316612.595,243133.6116,12.401366413190283,10.791928500756182,0.033230351948134,-3.4042916053947425,-5.0137295178288435,8,X315.108224422026.1.44374652777771,1dil_rep1_5ul_4_pos,positive,1,1.44374652777771,60
1001,1,1,5,1.6094379124341003,62,2,8891680.504,264419.2482,12.485291183856052,10.875853271421951,0.029737826058982737,-3.5153354388404017,-5.124773351274502,8,X315.108224422026.1.44374652777771,1dil_rep2_5ul_1_pos,positive,1,1.44374652777771,61
1001,1,1,5,1.6094379124341003,65,2,7012551.707,282695.2018,12.552124570774996,10.942686658340897,0.04031274400697976,-3.211087631558145,-4.820525543992245,8,X315.108224422026.1.44374652777771,1dil_rep2_5ul_2_pos,positive,1,1.44374652777771,62
1001,1,1,5,1.6094379124341003,68,2,7190305.765,214327.6583,12.275261236596132,10.665823324162032,0.029807864269594107,-3.5129830186224655,-5.122420931056566,8,X315.108224422026.1.44374652777771,1dil_rep2_5ul_3_pos,positive,1,1.44374652777771,63
1001,1,1,5,1.6094379124341003,71,2,10898480.95,227948.8892,12.33687671263125,10.727438800197149,0.020915656984288256,-3.867257262470962,-5.476695174905062,8,X315.108224422026.1.44374652777771,1dil_rep2_5ul_4_pos,positive,1,1.44374652777771,64
1001,1,1,10,2.302585092994046,51,1,10370784.85,327717.6557,12.699907710867539,10.397322617873494,0.03160008238913567,-3.4545955511415407,-5.757180644135587,9,X315.108224422026.1.44374652777771,1dil_rep1_10ul_1_pos,positive,1,1.44374652777771,65
1001,1,1,10,2.302585092994046,54,1,9790508.224,251287.1642,12.43435164463068,10.131766551636634,0.02566640652872404,-3.6625722810924426,-5.9651573740864885,9,X315.108224422026.1.44374652777771,1dil_rep1_10ul_2_pos,positive,1,1.44374652777771,66
1001,1,1,10,2.302585092994046,57,1,10929979.46,252356.1762,12.438596766206375,10.136011673212328,0.023088440113134483,-3.768423214713108,-6.071008307707154,9,X315.108224422026.1.44374652777771,1dil_rep1_10ul_3_pos,positive,1,1.44374652777771,67
1001,1,1,10,2.302585092994046,60,1,10749063.02,27605.81782,10.225781820071738,7.923196727077693,0.002568206900325718,-5.96454732773724,-8.267132420731285,9,X315.108224422026.1.44374652777771,1dil_rep1_10ul_4_pos,positive,1,1.44374652777771,68
1001,1,1,10,2.302585092994046,63,2,12438036.76,212127.9307,12.264944818351518,9.962359725357473,0.01705477599022629,-4.071324997749162,-6.373910090743208,9,X315.108224422026.1.44374652777771,1dil_rep2_10ul_1_pos,positive,1,1.44374652777771,69
1001,1,1,10,2.302585092994046,66,2,11783245.98,311216.5673,12.648244306694536,10.345659213700491,0.026411785668247586,-3.6339449416211154,-5.936530034615161,9,X315.108224422026.1.44374652777771,1dil_rep2_10ul_2_pos,positive,1,1.44374652777771,70
1001,1,1,10,2.302585092994046,69,2,11703207.61,401627.4626,12.903280227989775,10.60069513499573,0.03431772518987212,-3.3720932889055306,-5.674678381899577,9,X315.108224422026.1.44374652777771,1dil_rep2_10ul_3_pos,positive,1,1.44374652777771,71
1001,1,1,10,2.302585092994046,72,2,12434368.35,364952.3917,12.807522190358783,10.504937097364738,0.02935029600438047,-3.5284526474307634,-5.831037740424809,9,X315.108224422026.1.44374652777771,1dil_rep2_10ul_4_pos,positive,1,1.44374652777771,72
1002,0.25,0.25,2,-0.6931471805599453,1,1,3422082.178,110067.0089,11.608844631122901,12.301991811682846,0.03216375387113804,-3.436915116634367,-2.7437679360744216,1,X297.090928046429.2.28725161049151,025dil_rep1_2ul_1_pos,positive,1,2.28725161049151,73
1002,0.25,0.25,2,-0.6931471805599453,4,1,2918676.669,80934.19318,11.301391673578026,11.994538854137971,0.027729756447373032,-3.5852492023943543,-2.892102021834409,1,X297.090928046429.2.28725161049151,025dil_rep1_2ul_2_pos,positive,1,2.28725161049151,74
1002,0.25,0.25,2,-0.6931471805599453,7,1,2825674.401,47886.73466,10.776593806839948,11.469740987399893,0.016947010824408144,-4.077663813249909,-3.3845166326899627,1,X297.090928046429.2.28725161049151,025dil_rep1_2ul_3_pos,positive,1,2.28725161049151,75
1002,0.25,0.25,2,-0.6931471805599453,10,1,2465552.83,37033.72147,10.519584167642764,11.212731348202707,0.015020453433155596,-4.1983424444762765,-3.5051952639163315,1,X297.090928046429.2.28725161049151,025dil_rep1_2ul_4_pos,positive,1,2.28725161049151,76
1002,0.25,0.25,2,-0.6931471805599453,13,2,3991437.206,95622.69495,11.468165465740265,12.16131264630021,0.023956958362330808,-3.731496460273625,-3.03834927971368,1,X297.090928046429.2.28725161049151,025dil_rep2_2ul_1_pos,positive,1,2.28725161049151,77
1002,0.25,0.25,2,-0.6931471805599453,16,2,3118320.63,72942.61518,11.197428317572419,11.890575498132364,0.023391634098896365,-3.755376837684152,-3.0622296571242065,1,X297.090928046429.2.28725161049151,025dil_rep2_2ul_2_pos,positive,1,2.28725161049151,78
1002,0.25,0.25,2,-0.6931471805599453,19,2,2716128.757,69860.69821,11.154258512728285,11.84740569328823,0.02572068722072,-3.6604596606570756,-2.9673124800971302,1,X297.090928046429.2.28725161049151,025dil_rep2_2ul_3_pos,positive,1,2.28725161049151,79
1002,0.25,0.25,2,-0.6931471805599453,22,2,2554636.381,47650.79176,10.771654525103799,11.464801705663742,0.018652670929765483,-3.98176592975412,-3.2886187491941747,1,X297.090928046429.2.28725161049151,025dil_rep2_2ul_4_pos,positive,1,2.28725161049151,80
1002,0.25,0.25,5,0.22314355131420976,2,1,7021195.686,252228.8232,12.438091983056438,12.214948431742227,0.035923913031356586,-3.326352104082817,-3.5494956553970267,2,X297.090928046429.2.28725161049151,025dil_rep1_5ul_1_pos,positive,1,2.28725161049151,81
1002,0.25,0.25,5,0.22314355131420976,5,1,5906657.275,152691.3361,11.9361737515486,11.713030200234389,0.025850718772234837,-3.65541687291195,-3.8785604242261598,2,X297.090928046429.2.28725161049151,025dil_rep1_5ul_2_pos,positive,1,2.28725161049151,82
1002,0.25,0.25,5,0.22314355131420976,8,1,5760248.959,109245.452,11.601352482800696,11.378208931486487,0.018965404581916787,-3.9651387709859436,-4.188282322300153,2,X297.090928046429.2.28725161049151,025dil_rep1_5ul_3_pos,positive,1,2.28725161049151,83
1002,0.25,0.25,5,0.22314355131420976,11,1,4689691.905,102649.3785,11.53907436787444,11.31593081656023,0.0218882989713159,-3.8218030784925605,-4.04494662980677,2,X297.090928046429.2.28725161049151,025dil_rep1_5ul_4_pos,positive,1,2.28725161049151,84
1002,0.25,0.25,5,0.22314355131420976,14,2,9209727.224,231705.9104,12.35322421894277,12.13008066762856,0.02515882444337637,-3.682546571477695,-3.9056901227919045,2,X297.090928046429.2.28725161049151,025dil_rep2_5ul_1_pos,positive,1,2.28725161049151,85
1002,0.25,0.25,5,0.22314355131420976,17,2,6385300.932,160752.4722,11.987621021141795,11.764477469827584,0.025175394850129516,-3.681888156284836,-3.9050317075990457,2,X297.090928046429.2.28725161049151,025dil_rep2_5ul_2_pos,positive,1,2.28725161049151,86
1002,0.25,0.25,5,0.22314355131420976,20,2,5761155.578,115662.2249,11.65842936808261,11.4352858167684,0.020076219663582223,-3.9082192656482815,-4.131362816962491,2,X297.090928046429.2.28725161049151,025dil_rep2_5ul_3_pos,positive,1,2.28725161049151,87
1002,0.25,0.25,5,0.22314355131420976,23,2,4802765.197,103025.7838,11.542734564040249,11.319591012726038,0.021451347208136275,-3.841967828674262,-4.065111379988472,2,X297.090928046429.2.28725161049151,025dil_rep2_5ul_4_pos,positive,1,2.28725161049151,88
1002,0.25,0.25,10,0.9162907318741551,3,1,10964223.72,187467.3991,12.14136023780854,11.225069505934385,0.017098100502823378,-4.068787903349787,-4.9850786352239425,3,X297.090928046429.2.28725161049151,025dil_rep1_10ul_1_pos,positive,1,2.28725161049151,89
1002,0.25,0.25,10,0.9162907318741551,6,1,7164694.427,123702.4184,11.725634108714935,10.80934337684078,0.01726555398285097,-4.059041861608857,-4.975332593483012,3,X297.090928046429.2.28725161049151,025dil_rep1_10ul_2_pos,positive,1,2.28725161049151,90
1002,0.25,0.25,10,0.9162907318741551,9,1,9447993.128,91462.08192,11.423679760128127,10.507389028253973,0.009680583027621354,-4.63763314938124,-5.553923881255395,3,X297.090928046429.2.28725161049151,025dil_rep1_10ul_3_pos,positive,1,2.28725161049151,91
1002,0.25,0.25,10,0.9162907318741551,12,1,7715486.748,85856.92556,11.360437533543687,10.444146801669532,0.011127868968507496,-4.498302599366743,-5.414593331240898,3,X297.090928046429.2.28725161049151,025dil_rep1_10ul_4_pos,positive,1,2.28725161049151,92
1002,0.25,0.25,10,0.9162907318741551,15,2,12112193.26,168305.1181,12.033533790292857,11.117243058418701,0.013895511282487578,-4.2761894203158315,-5.192480152189987,3,X297.090928046429.2.28725161049151,025dil_rep2_10ul_1_pos,positive,1,2.28725161049151,93
1002,0.25,0.25,10,0.9162907318741551,18,2,11054700.51,124686.585,11.73355854769353,10.817267815819374,0.01127905589909102,-4.484807733304098,-5.401098465178253,3,X297.090928046429.2.28725161049151,025dil_rep2_10ul_2_pos,positive,1,2.28725161049151,94
1002,0.25,0.25,10,0.9162907318741551,21,2,10157361.99,91244.7315,11.421300532791593,10.505009800917438,0.008983113094702259,-4.712408786955446,-5.628699518829601,3,X297.090928046429.2.28725161049151,025dil_rep2_10ul_3_pos,positive,1,2.28725161049151,95
1002,0.25,0.25,10,0.9162907318741551,24,2,9333460.318,76702.26425,11.247686507780111,10.331395775905955,0.008217987931236629,-4.801429877098704,-5.717720608972859,3,X297.090928046429.2.28725161049151,025dil_rep2_10ul_4_pos,positive,1,2.28725161049151,96
1002,0.5,0.5,2,0,25,1,3670921.266,130696.1177,11.780630195269078,11.780630195269078,0.03560308386630486,-3.3353230194179186,-3.3353230194179186,4,X297.090928046429.2.28725161049151,05dil_rep1_2ul_1_pos,positive,1,2.28725161049151,97
1002,0.5,0.5,2,0,28,1,2768689.132,91819.98955,11.42758530399358,11.42758530399358,0.03316370497820121,-3.4062992246125887,-3.4062992246125887,4,X297.090928046429.2.28725161049151,05dil_rep1_2ul_2_pos,positive,1,2.28725161049151,98
1002,0.5,0.5,2,0,31,1,2638622.768,101090.5218,11.523771649871847,11.523771649871847,0.038311850798067544,-3.2619960103410506,-3.2619960103410506,4,X297.090928046429.2.28725161049151,05dil_rep1_2ul_3_pos,positive,1,2.28725161049151,99
1002,0.5,0.5,2,0,34,1,2270723.624,109005.6102,11.599154629611531,11.599154629611531,0.04800478977180889,-3.036454486139944,-3.036454486139944,4,X297.090928046429.2.28725161049151,05dil_rep1_2ul_4_pos,positive,1,2.28725161049151,100
1002,0.5,0.5,2,0,37,2,3005824.974,162939.8723,12.001136530140256,12.001136530140256,0.0542080372973839,-2.914926091910726,-2.914926091910726,4,X297.090928046429.2.28725161049151,05dil_rep2_2ul_1_pos,positive,1,2.28725161049151,101
1002,0.5,0.5,2,0,40,2,3561141.654,107293.3307,11.58332177104865,11.58332177104865,0.030128914018200975,-3.5022699696955737,-3.5022699696955737,4,X297.090928046429.2.28725161049151,05dil_rep2_2ul_2_pos,positive,1,2.28725161049151,102
1002,0.5,0.5,2,0,43,2,2506789.374,113064.7233,11.635715706289252,11.635715706289252,0.045103399780088586,-3.0987976521641483,-3.0987976521641483,4,X297.090928046429.2.28725161049151,05dil_rep2_2ul_3_pos,positive,1,2.28725161049151,103
1002,0.5,0.5,2,0,46,2,1417020.883,53358.3337,10.884785452590672,10.884785452590672,0.037655290998276705,-3.2792818034470854,-3.2792818034470854,4,X297.090928046429.2.28725161049151,05dil_rep2_2ul_4_pos,positive,1,2.28725161049151,104
1002,0.5,0.5,5,0.9162907318741551,26,1,7446640.112,299827.2492,12.610961751781115,11.69467101990696,0.04026342681941066,-3.212311745169442,-4.1286024770435965,5,X297.090928046429.2.28725161049151,05dil_rep1_5ul_1_pos,positive,1,2.28725161049151,105
